用户编号,性别,年龄,实验类型,距离,呈现区域,trail序号,字号,文字区域,该区域第几次出现,反应时（毫秒）,用户按键,选择是否正确,主观评价,目标词,目标词位置
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
,,,,,,0,0,,0,0,,false,2,,0
23,男,23,文字搜索,5m,右,1,12,4-0,1,7682,4,true,4,净化,3
23,男,23,文字搜索,5m,右,2,12,4-0,2,2816,3,true,4,应急,2
23,男,23,文字搜索,5m,右,3,12,4-1,1,3082,9,true,4,水下,8
23,男,23,文字搜索,5m,右,4,12,4-2,1,1666,1,true,4,物资,0
23,男,23,文字搜索,5m,右,5,12,4-1,2,4399,5,true,4,乡长,4
23,男,23,文字搜索,5m,右,6,12,4-3,1,6298,5,true,4,文本,4
23,男,23,文字搜索,5m,右,7,12,4-2,2,14350,6,true,4,没有,5
23,男,23,文字搜索,5m,右,8,12,4-3,2,2548,6,true,4,升学,5
